Graf_Kalman_Hunyady_Memorial Q17007186 ; [16, 10]
Beverley_Racecourse Q4899429 ; [29, 19]
Thorncliffe_Park_Raceway Q7796354 ; [27, 14]
Great_Northern_Derby Q5599662 ; [25, 11]
Colombo_Racecourse Q5148039 ; [37, 29]
Drammen_Travbane Q15410070 ; [22, 26]
Thirsk_Racecourse Q7785131 ; [26, 13]
Ohi_Racecourse Q7080668 ; [27, 34]
Sørlandets_Travpark Q15410066 ; [24, 18]
Kranji_Racecourse Q6436091 ; [25, 16]
Goodwood_Racecourse Q5583722 ; [29, 30]
Happy_Valley_Racecourse Q837662 ; [38, 29]
Woodbine_Racetrack Q3135941 ; [26, 34]
Forus_Travbane Q15410069 ; [26, 22]
Hovik_Hayrapetyan_Equestrian_Centre Q15226095 ; [25, 13]
Ascot_Racecourse Q723336 ; [30, 41]
Laurel_Park_(race_track) Q6499941 ; [29, 16]
Harrah's_Philadelphia Q5663831 ; [35, 20]
Monroe_Race_Track Q17019709 ; [14, 10]
Malacca_International_Motorsport_Circuit Q19572833 ; [25, 21]
Musselburgh_Racecourse Q6943106 ; [29, 25]
Moonee_Valley_Racecourse Q6907735 ; [24, 18]
Delta_Downs Q5254613 ; [30, 20]
Carlisle_Racecourse Q5041405 ; [27, 22]
Canfield_Speedway Q5032316 ; [45, 16]
Ffos_Las_racecourse Q5446232 ; [27, 24]
Livingston_Energy_Flight_destinations Q6659642 ; [15, 11]
Pompano_Park Q7227448 ; [26, 21]
Yonkers_Raceway Q8055091 ; [29, 25]
Cemetery_Circuit Q5058697 ; [26, 10]
Fiorano_Circuit Q522987 ; [31, 27]
Gloucester_Park Q5572069 ; [20, 32]
Catello_Manzi Q5051861 ; [28, 26]
List_of_fly_fishing_waters_in_Europe Q6620540 ; [14, 9]
Kyoto_Racecourse Q6452200 ; [28, 25]
Oswestry_Race_Course Q17017059 ; [15, 6]
Hawthorne_Race_Course Q5685645 ; [19, 17]
Sports_Creek_Raceway Q19577948 ; [13, 12]
Helena_Vale_Racecourse Q22271711 ; [17, 17]
Pimlico_Race_Course Q7194656 ; [30, 19]
Momarken_Travbane Q15410067 ; [26, 21]
International_Trot Q3153322 ; [13, 13]
Belterra_Park_Gaming_&_Entertainment_Center Q7337362 ; [30, 18]
Fort_Erie_Race_Track Q5471134 ; [22, 16]
Windsor_Racecourse Q8024684 ; [27, 21]
Plumpton_Racecourse Q7205467 ; [27, 23]
Wally_Hennessey Q21020908 ; [23, 21]
Hereford_Racecourse Q5738016 ; [29, 18]
Newbury_Racecourse Q11324938 ; [31, 25]
Exeter_Racecourse Q5420128 ; [30, 20]
Montgomery_Park_Race_Track Q6905764 ; [13, 11]
Adios_(horse) Q4682925 ; [25, 21]
Cheltenham_Racecourse Q5090224 ; [29, 25]
Momarken Q4587071 ; [18, 19]
Yarmouth_Stadium Q8049404 ; [27, 10]
State_Fairgrounds_Speedway Q7603213 ; [17, 15]
Stratford-on-Avon_Racecourse Q7621926 ; [27, 15]
Hard_Rock_Rocksino_Northfield_Park Q7059389 ; [30, 20]
Copenhagen_Cup_(harness_racing) Q2996732 ; [24, 16]
Mysore_Race_Course Q24895910 ; [22, 10]
Hialeah_Park_Race_Track Q3845007 ; [42, 31]
Bath_Racecourse Q4868938 ; [29, 25]
Quad_City_Downs Q7268269 ; [23, 15]
Sha_Tin_Racecourse Q3244588 ; [36, 28]
Bay_Meadows_Racetrack Q4874040 ; [25, 21]
Sex_swing Q7458539 ; [15, 17]
Bromford_Bridge_Racecourse Q4973622 ; [22, 13]
Victoria_Park_Racecourse,_Sydney Q14935029 ; [19, 13]
Sedgefield_Racecourse Q7445232 ; [28, 19]
Wind_Jet_destinations Q3706049 ; [13, 12]
Ascot_Racecourse_(Western_Australia) Q4804040 ; [20, 18]
Prairie_Meadows Q7237931 ; [30, 18]
Gulfstream_Park Q5617636 ; [27, 27]
Hipodromo_do_Cristal Q1620098 ; [23, 28]
Stateline_Speedway Q17063256 ; [18, 14]
Royal_Calcutta_Turf_Club Q16899442 ; [27, 19]
Playfair_Race_Course Q7203321 ; [23, 12]
Punchestown_Racecourse Q7259999 ; [26, 25]
Horner_Rennbahn Q822397 ; [30, 25]
Longacres Q6673578 ; [17, 21]
Newcastle_Racecourse Q15262136 ; [30, 20]
Grand_River_Raceway Q5595053 ; [25, 12]
Jamaica_Race_Course Q6127329 ; [27, 16]
Marquis_Downs Q6772659 ; [29, 10]
Jimmy_Takter Q22095980 ; [17, 26]
Emerald_Downs Q5370430 ; [27, 23]
Manor_Downs Q6751316 ; [23, 14]
Epsom_Downs_Racecourse Q5383997 ; [28, 28]
Biri_Travbane Q11961127 ; [22, 22]
Mahalaxmi_Racecourse Q5455373 ; [26, 18]
Longchamp_Racecourse Q1542489 ; [26, 31]
Tokyo_Racecourse Q1055592 ; [24, 39]
Haydock_Park_Racecourse Q5686505 ; [27, 21]
Jockey_Club_del_Perú Q4846206 ; [19, 25]
Wallsend_Racecourse Q16886794 ; [13, 8]
Historic_Track Q5773692 ; [42, 20]
Ludlow_Racecourse Q6698867 ; [26, 18]
Hakodate_Racecourse Q5640576 ; [30, 24]
Gotland_Ring Q4354417 ; [18, 17]
Turfway_Park Q7854880 ; [25, 19]
Penn_National_Race_Course Q7163203 ; [30, 19]
Australian_Pacing_Championship Q4824526 ; [14, 8]
Kensington_Racecourse,_Sydney Q6391478 ; [19, 16]
Charlie_Mills_(harness_racer) Q1066947 ; [23, 30]
Monmore_Green_Stadium Q6901036 ; [25, 10]
Miracle_Mile_(harness_race) Q6872426 ; [24, 10]
Wheeling_Island_Hotel-Casino-Racetrack Q7992304 ; [24, 10]
Pleasanton_Fairgrounds_Racetrack Q7204126 ; [22, 14]
Trentham_Racecourse Q11322128 ; [20, 18]
Plainridge_Park_Casino Q7200712 ; [26, 14]
Curraheen_Park Q17984466 ; [21, 10]
Saratoga_Race_Course Q7423370 ; [29, 30]
Brighton_Racecourse Q4967703 ; [27, 20]
Øvrevoll_Galoppbane Q1782457 ; [26, 25]
Salisbury_Racecourse Q7404800 ; [29, 26]
Fontwell_Park_Racecourse Q5465209 ; [31, 22]
Dufferin_Park_Racetrack Q5312346 ; [28, 15]
Market_Rasen_Racecourse Q6770718 ; [28, 24]
Tabcorp_Park Q12059570 ; [26, 19]
European_Grand_Circuit Q3113566 ; [14, 12]
Great_Yarmouth_Racecourse Q5600306 ; [29, 17]
Nakayama_Racecourse Q1055536 ; [28, 28]
The_Red_Mile Q7759897 ; [27, 17]
Canterbury_Park Q5033676 ; [27, 27]
Langhorne_Speedway Q6486113 ; [32, 21]
All_American_Speedway Q4727801 ; [26, 19]
Santa_Anita_Park Q1126370 ; [29, 44]
Pekka_Korpi Q7161085 ; [22, 28]
Catterick_Racecourse Q5054073 ; [28, 14]
Charlottenlund_Racetrack Q11963477 ; [19, 30]
Vernon_Downs Q7922112 ; [25, 23]
Bjerke_Travbane Q11854322 ; [27, 26]
International_Equestrian_Sports_Complex Q12060759 ; [23, 16]
Cartmel_Racecourse Q5047372 ; [26, 20]
Hanshin_Racecourse Q5651125 ; [28, 28]
Hexham_Racecourse Q15223808 ; [27, 20]
Belmont_Park_Racecourse Q4884405 ; [25, 22]
